Current Attendence Sheet Data of SUP32613  |  All Type


-,2019-07-29-16:00:00-Lect-2H-ng,2019-07-31-13:00:00-Lect-1H-ng,2019-08-05-16:00:00-Lect-2H-ng,2019-08-07-13:00:00-Lect-1H-ng,2019-08-19-16:00:00-Lect-2H-ng,2019-09-19-08:00:00-Lect-2H-ng,2019-12-09-16:00:00-Lect-2H-ng,2019-12-16-16:00:00-Lect-2H-ng,2019-12-18-13:00:00-Lect-1H-ng,2019-12-23-16:00:00-Lect-2H-ng,2019-12-30-16:00:00-Lect-2H-ng,2020-01-01-13:00:00-Lect-1H-ng,2020-01-06-16:00:00-Lect-2H-ng,2020-01-07-16:00:00-Lect-2H-ng,2020-01-13-16:00:00-Lect-2H-ng,2020-01-20-16:00:00-Lect-2H-ng,2020-01-23-13:00:00-Lect-2H-ng,2020-01-27-16:00:00-Lect-2H-ng,2020-01-29-13:00:00-Lect-1H-ng,2020-02-03-16:00:00-Lect-2H-ng,2020-02-05-13:00:00-Lect-1H-ng,2020-02-06-14:00:00-Lect-2H-ng,2020-02-12-13:00:00-Lect-1H-ng,%
HS/2016/15702,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15705,0,1,1,1,1,1,M,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,85 %,
HS/2016/15706,0,1,1,1,1,0,1,1,1,1,M,1,1,1,1,1,0,1,1,1,1,1,0,82 %,
HS/2016/15708,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15710,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,54 %,
HS/2016/15712,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,49 %,
HS/2016/15713,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,90 %,
HS/2016/15716,M,M,1,1,1,M,M,1,1,1,1,0,1,1,1,1,M,1,1,1,1,1,1,97 %,
HS/2016/15720,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15722,M,1,1,M,M,1,M,M,M,M,1,M,1,1,1,1,1,M,M,M,1,1,M,100 %,
HS/2016/15723,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15724,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,44 %,
HS/2016/15725,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15726,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,90 %,
HS/2016/15728,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15731,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,85 %,
HS/2016/15733,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,85 %,
