Current Attendence Sheet Data of HIS22613  |  All Type


-,2019-08-02-10:00:00-Lect-2H-ng,2019-08-05-09:00:00-Lect-3H-ng,2019-08-09-13:00:00-Lect-2H-ng,2019-08-16-08:00:00-Lect-2H-ng,2019-08-19-09:00:00-Lect-3H-ng,2019-12-09-09:00:00-Lect-3H-ng,2019-12-16-09:00:00-Lect-3H-ng,2019-12-30-09:00:00-Lect-3H-ng,2020-01-06-09:00:00-Lect-3H-ng,2020-01-13-09:00:00-Lect-3H-ng,2020-01-20-09:00:00-Lect-2H-ng,2020-01-27-09:00:00-Lect-3H-ng,2020-02-03-09:00:00-Lect-3H-ng,2020-02-10-09:00:00-Lect-3H-ng,2020-02-12-12:00:00-Lect-1H-ng,2020-02-17-09:00:00-Lect-3H-ng,2020-02-20-09:00:00-Lect-3H-ng,%
HS/2017/16148,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16223,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16224,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16248,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16329,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16349,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11 %,
HS/2017/16355,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16370,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16382,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16385,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16428,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16433,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16451,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16496,1,1,E,1,1,E,1,E,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16539,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16548,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16569,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,82 %,
HS/2017/16583,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,87 %,
Total,23,23,22,24,23,15,23,22,24,24,24,23,24,24,24,24,24,
