Current Attendence Sheet Data of SOC22623  |  All Type


-,2020-01-02-15:00:00-Lect-2H-ng,2020-01-06-11:00:00-Lect-1H-ng,2020-01-09-15:00:00-Lect-2H-ng,2020-01-13-17:00:00-Lect-1H-ng,2020-01-16-15:00:00-Lect-2H-ng,2020-01-20-15:00:00-Lect-2H-ng,2020-01-22-11:00:00-Lect-1H-ng,2020-01-23-15:00:00-Lect-3H-ng,2020-01-27-17:00:00-Lect-1H-ng,2020-01-30-15:00:00-Lect-2H-ng,2020-01-30-17:00:00-Lect-2H-ng,2020-02-03-11:00:00-Lect-1H-ng,%
HS/2017/16170,1,1,1,1,1,1,1,1,1,0,1,1,90 %,
HS/2017/16191,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16204,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16209,1,1,1,1,1,1,1,1,1,0,0,1,80 %,
HS/2017/16245,0,1,1,1,1,1,1,1,1,0,1,1,80 %,
HS/2017/16247,1,1,1,1,1,1,1,1,1,0,1,1,90 %,
HS/2017/16262,1,1,1,1,1,1,1,1,1,0,1,1,90 %,
HS/2017/16268,1,0,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16269,1,1,0,0,1,1,1,1,1,1,1,1,85 %,
HS/2017/16284,1,1,1,1,1,0,1,1,1,0,1,1,80 %,
HS/2017/16285,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16289,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16312,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16315,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16319,1,1,1,1,1,1,1,1,1,0,1,1,90 %,
HS/2017/16344,1,0,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16361,1,1,1,1,1,1,1,1,1,0,0,1,80 %,
HS/2017/16364,1,1,1,1,1,1,1,1,1,1,0,1,90 %,
HS/2017/16376,1,1,0,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16380,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16383,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16388,1,1,1,1,1,1,1,1,1,1,0,1,90 %,
HS/2017/16408,1,1,1,1,1,1,1,1,1,0,1,1,90 %,
HS/2017/16415,1,1,1,1,1,1,1,1,1,0,1,1,90 %,
HS/2017/16422,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16424,1,1,1,1,1,1,1,1,0,0,1,1,85 %,
HS/2017/16425,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16431,1,1,0,0,1,1,1,1,1,1,1,1,85 %,
HS/2017/16440,1,0,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16443,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16452,1,1,1,1,1,1,1,1,1,0,1,1,90 %,
HS/2017/16461,1,1,1,0,1,1,1,1,1,1,1,1,95 %,
HS/2017/16467,1,1,1,0,1,1,1,1,1,1,1,1,95 %,
HS/2017/16476,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16477,1,1,1,1,1,0,1,1,1,1,1,1,90 %,
HS/2017/16486,1,1,0,1,1,1,1,1,1,0,1,1,80 %,
HS/2017/16509,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16532,1,0,1,1,1,1,1,1,1,0,1,1,85 %,
HS/2017/16556,1,1,1,1,1,1,1,1,1,0,1,1,90 %,
HS/2017/16567,1,0,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16577,1,1,1,1,1,1,1,1,1,1,0,1,90 %,
HS/2017/16590,1,1,1,1,1,0,1,1,1,0,1,1,80 %,
Total,41,37,35,38,42,39,42,42,41,26,37,42,
