Current Attendence Sheet Data of SOC32613  |  All Type


-,2019-08-19-10:00:00-Lect-2H-ng,2019-08-21-10:00:00-Lect-1H-ng,2019-12-18-08:00:00-Lect-2H-ng,2019-12-19-09:00:00-Lect-2H-ng,2019-12-31-09:00:00-Lect-1H-ng,2020-01-08-14:00:00-Lect-2H-ng,2020-01-13-10:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-1H-ng,2020-01-20-09:00:00-Lect-2H-ng,2020-01-22-08:00:00-Lect-2H-ng,2020-01-23-13:00:00-Lect-1H-ng,2020-01-29-08:00:00-Lect-2H-ng,2020-02-05-09:00:00-Lect-1H-ng,%
HS/2016/15705,1,1,0,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15712,1,1,1,1,0,1,1,1,1,1,1,1,1,95 %,
HS/2016/15724,0,1,1,1,0,1,1,1,1,1,1,1,1,86 %,
HS/2016/15734,1,1,1,1,0,1,0,1,1,1,1,1,1,86 %,
HS/2016/15735,1,1,1,1,1,0,1,1,1,1,1,1,1,90 %,
HS/2016/15761,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15786,1,1,1,1,1,1,1,1,1,1,0,1,1,95 %,
HS/2016/15814,0,0,1,1,1,1,1,1,1,1,1,1,0,81 %,
HS/2016/15862,1,1,1,1,1,1,1,1,1,1,0,1,1,95 %,
HS/2016/15868,1,1,1,1,1,0,1,1,1,1,1,1,1,90 %,
HS/2016/15871,1,1,1,1,0,0,1,1,1,1,1,1,1,86 %,
HS/2016/15880,1,1,1,1,1,1,1,1,1,1,0,1,1,95 %,
HS/2016/15891,1,1,1,1,0,0,1,1,1,1,0,1,1,81 %,
HS/2016/15895,1,1,1,0,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15897,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15904,1,1,1,0,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15909,1,0,1,1,0,1,1,1,1,1,1,1,1,90 %,
HS/2016/15923,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15939,0,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15948,1,1,1,0,1,0,1,1,1,1,1,1,1,81 %,
HS/2016/15962,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15965,1,1,1,1,0,1,1,0,1,1,1,1,1,90 %,
HS/2016/15969,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15972,1,1,1,0,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15976,1,1,1,1,1,1,1,1,1,1,0,1,1,95 %,
HS/2016/15983,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15984,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15997,1,1,1,1,1,1,1,1,1,1,1,1,0,95 %,
HS/2016/16010,1,1,1,0,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/16058,1,1,1,0,1,1,1,1,1,1,0,1,1,86 %,
HS/2016/16066,1,1,1,1,1,1,1,1,1,0,1,1,1,90 %,
HS/2016/16073,1,1,1,1,1,1,1,1,1,0,1,1,1,90 %,
HS/2016/16078,1,1,1,1,1,1,1,1,1,0,1,1,1,90 %,
HS/2016/16080,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16081,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16083,1,1,1,1,1,1,1,1,0,1,0,1,1,86 %,
HS/2016/16089,1,1,1,1,1,1,1,1,1,0,1,1,1,90 %,
Total,34,35,36,31,30,32,36,36,36,33,30,37,35,
