Current Attendence Sheet Data of ENG32513  |  All Type


-,2019-08-21-10:00:00-Lect-2H-ng,2019-08-21-13:00:00-Lect-1H-ng,2019-12-17-10:00:00-Lect-2H-ng,2019-12-17-17:00:00-Lect-1H-ng,2019-12-31-10:00:00-Lect-2H-ng,2019-12-31-17:00:00-Lect-1H-ng,2020-01-02-08:00:00-Lect-3H-ng,2020-01-07-17:00:00-Lect-1H-ng,2020-01-28-10:00:00-Lect-2H-ng,2020-01-28-17:00:00-Lect-1H-ng,2020-02-07-10:00:00-Lect-2H-ng,2020-02-11-10:00:00-Lect-2H-ng,2020-02-11-17:00:00-Lect-1H-ng,2020-02-18-10:00:00-Lect-2H-ng,2020-02-18-17:00:00-Lect-1H-ng,%
HS/2015/15687,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,88 %,
HS/2016/16021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16033,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,83 %,
HS/2016/16034,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,83 %,
HS/2016/16042,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,83 %,
HS/2016/16045,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16046,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,88 %,
HS/2016/16047,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,63 %,
HS/2016/16055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/16107,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,88 %,
HS/2016/16118,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/16119,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16126,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,25 %,
HS/2016/16130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16133,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,33 %,
HS/2016/16135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
Total,13,13,16,16,17,16,13,16,16,16,16,17,16,14,11,
